"Rank","Grade","Username","Tweets","Followers","Following"
"387","B","Guaje7Villa","2,367","8,865,226","548"
"388","B","MartinGarrix","16,233","8,861,554","1,133"
"389","B","lindsaylohan","61","8,852,923","721"
"390","B","BigHitEnt","5,072","8,845,201","20"
"391","B","JessieJ","20,816","8,818,114","158"
"392","B","bernardokath","6,385","8,783,031","592"
"393","B","troyesivan","16,798","8,780,516","3,552"
"394","B","AhlamAlShamsi","62,672","8,773,457","783"
"395","B","DavidLuiz_4","2,353","8,766,413","202"
"396","B","SidMalhotra","3,254","8,728,997","181"
"397","B","GautamGambhir","2,600","8,726,062","108"
"398","B","RaffiAhmadLagi","15,008","8,715,453","0"
"399","B","MacMiller","228","8,712,106","1,305"
"400","B","TimesNow","345,043","8,704,005","338"
"401","B","MirzaSania","6,647","8,699,103","119"
"402","B","Pitty","12,031","8,697,921","143"
"403","B","LuceroMexico","37,462","8,693,649","50"
"404","B","DaniAlvesD2","6,750","8,685,796","400"
"405","B","MariaSharapova","3,621","8,683,430","80"
"406","B","pepatah","53,155","8,682,174","114"
"407","B","vidialdiano","31,751","8,640,651","505"
"408","B","JoelOsteen","17,791","8,640,381","167"
"409","B","smritiirani","26,529","8,614,276","393"
"410","B","adamlevine","5,936","8,593,734","14,461"
"411","B","SteveMartinToGo","59","8,592,026","269"
"412","B","NewYorker","88,947","8,589,191","425"
"413","B","cbabdullahgul","1,932","8,554,736","3"
"414","B","channingtatum","7,088","8,549,453","306"
"415","B","sardesairajdeep","57,216","8,535,120","542"
"416","B","TheWeirdWorld","45,771","8,525,435","366"
"417","B","Tip","19,140","8,523,093","714"
"418","B","realmadridarab","27,193","8,498,078","54"
"419","B","DjokerNole","2,959","8,495,548","730"
"420","B","IkerCasillas","3,790","8,494,868","1,064"
"421","B","Earth_Pics","3,931","8,492,826","125"
"422","B","hm","12,303","8,488,538","335"
"423","B","Microsoft","15,032","8,482,857","2,562"
"424","B","raisa6690","25,944","8,471,419","450"
"425","B","Alhilal_FC","30,242","8,461,100","44"
"426","B","Burberry","13,198","8,438,998","13"
"427","B","tvOneNews","171,595","8,438,639","52"
"428","B","ICC","68,692","8,416,334","507"
"429","B","carrieunderwood","4,537","8,413,672","410"
"430","B","steveaoki","42,038","8,405,228","4,827"
"431","B","GalatasaraySK","69,428","8,357,097","71"
"432","B","werevertumorro","90,662","8,354,115","3,109"
"433","B","muyinteresante","160,912","8,353,981","779"
"434","B","felipeneto","1,514","8,328,230","632"
"435","B","danielhowell","17,357","8,303,358","748"
"436","B","chelseahandler","10,134","8,287,872","497"
"437","B","RahulGandhi","4,083","8,265,296","200"
"438","B","MLB","164,417","8,237,915","5,715"
"439","B","BCCI","799,472","8,235,516","71"
"440","B","MonsieurDream","14,810","8,215,140","600"
"441","B","AristeguiOnline","243,179","8,175,681","8"
"442","B","cnni","179,543","8,174,050","369"
"443","B","France24_ar","177,962","8,153,788","905"
"444","B","VEJA","277,518","8,120,969","23,223"
"445","B","NoticiasCaracol","590,481","8,114,363","1,291"
"446","B","NSaina","7,794","8,100,503","823"
